LoanID,CustomerID,BranchID,LoanOfficerEmployeeID,LoanType,LoanStatus,ApplicationDate,DecisionDate,DisbursementDate,RequestedAmount,ApprovedAmount,DisbursedAmount,OutstandingBalance,InterestRate,TermMonths,MonthlyPayment,DaysDelinquent,CollateralType,CollateralValue,PurposeDescription,RejectionReason,CreatedAt,UpdatedAt
LN0000001,CUST006199,BRN0005,EMP00357,Credit Card,Disbursed,2021-04-11,2021-04-24,2021-04-29,72780.95,67408.25,65242.68,4129.72,23.2973,60,1911.8,0,None,9271.88,Investment,,2021-04-11 00:00:00,2022-06-17 00:00:00
LN0000002,CUST005399,BRN0025,EMP00288,Business Loan,Pending,2022-10-09,,,35791.28,,,,5.3707,12,3070.08,0,Guarantor,101254.58,Education,,2022-10-09 00:00:00,2024-04-27 00:00:00
LN0000003,CUST002148,BRN0024,EMP00144,Personal Loan,Rejected,2019-08-01,2019-08-26,,117521.83,,,,18.9883,240,1903.59,0,Equipment,,Business expansion,Low credit score,2019-08-01 00:00:00,2020-10-19 00:00:00
LN0000004,CUST009750,BRN0027,EMP00279,Line of Credit,Approved,2024-02-11,2024-02-29,,8327.95,6860.82,,,22.5146,120,144.22,0,Property,160138.19,Investment,,2024-02-11 00:00:00,2025-08-30 00:00:00
LN0000005,CUST003089,BRN0012,EMP00309,Personal Loan,Rejected,2018-07-08,2018-08-07,,35690.58,,,,14.0097,240,444.07,0,Guarantor,18472.26,Home purchase,,2018-07-08 00:00:00,2018-12-11 00:00:00
LN0000006,CUST005250,BRN0020,EMP00493,Home Mortgage,Disbursed,2022-02-01,2022-02-08,2022-02-10,56189.51,48220.57,47659.18,3877.07,22.6205,36,1857.08,0,Equipment,,Business expansion,,2022-02-01 00:00:00,2022-11-17 00:00:00
LN0000007,CUST005878,BRN0025,EMP00098,Line of Credit,Disbursed,2020-03-27,2020-04-23,2020-04-24,68703.92,49375.03,48648.5,21994.33,5.6982,24,2181.62,0,,,Working capital,,2020-03-27 00:00:00,2021-06-06 00:00:00
LN0000008,CUST009247,BRN0037,EMP00341,Student Loan,Closed,2021-04-06,2021-04-08,2021-04-11,30512.09,26829.27,26097.09,19965.6,7.2437,240,,0,Property,318048.34,Debt consolidation,,2021-04-06 00:00:00,2022-02-18 00:00:00
LN0000009,CUST001438,BRN0024,EMP00389,Student Loan,Approved,2024-05-27,2024-06-20,,6272.03,5637.55,,,19.3552,180,96.34,0,,,Vehicle purchase,,2024-05-27 00:00:00,2024-07-28 00:00:00
LN0000010,CUST003428,BRN0021,EMP00041,Line of Credit,Defaulted,2024-09-26,2024-10-25,2024-11-03,31298.61,23451.18,22662.42,9374.79,21.8713,24,1215.11,190,None,126505.18,Investment,,2024-09-26 00:00:00,2025-10-10 00:00:00
LN0000011,CUST005418,BRN0002,EMP00406,Auto Loan,Disbursed,2024-10-16,2024-10-18,2024-10-28,32674.9,25648.67,24666.24,10599.55,14.2591,24,1234.61,0,Cash Deposit,,Vehicle purchase,,2024-10-16 00:00:00,2025-01-16 00:00:00
LN0000012,CUST007304,BRN0046,EMP00030,Line of Credit,Disbursed,2021-05-04,2021-05-11,2021-05-16,83382.34,62203.3,61291.48,44383.07,17.9583,360,,0,Equipment,90473.61,Equipment purchase,,2021-05-04 00:00:00,2021-09-01 00:00:00
LN0000013,CUST007675,BRN0044,EMP00240,Student Loan,Approved,2020-04-05,2020-04-29,,10225.37,7199.79,,,18.4118,360,110.93,0,Guarantor,69119.4,Business expansion,,2020-04-05 00:00:00,2022-04-01 00:00:00
LN0000014,CUST006473,BRN0014,EMP00032,Student Loan,Disbursed,2022-03-07,2022-04-02,2022-04-14,91501.69,72745.85,71148.47,61859.48,18.9592,12,6702.59,0,Vehicle,193348.34,Emergency,,2022-03-07 00:00:00,2022-09-27 00:00:00
LN0000015,CUST001905,BRN0042,EMP00076,Business Loan,Approved,2020-12-24,2021-01-23,,119309.77,101139.86,,,15.7102,36,3541.32,0,,51021.67,Renovation,,2020-12-24 00:00:00,2022-12-07 00:00:00
LN0000016,CUST009691,BRN0025,EMP00397,Student Loan,Disbursed,2022-08-23,2022-08-26,2022-09-03,40564.02,36993.7,36046.44,31493.98,16.65,240,532.8,0,Guarantor,26087.75,Working capital,,2022-08-23 00:00:00,2022-09-23 00:00:00
LN0000017,CUST009193,BRN0004,EMP00258,Credit Card,Pending,2024-11-27,,,32415.17,,,,17.9117,48,950.7,0,None,,Education,,2024-11-27 00:00:00,2026-04-06 00:00:00
LN0000018,CUST003523,BRN0050,EMP00049,Credit Card,Pending,2022-08-26,,,64607.92,,,,16.3631,12,5873.04,0,None,380802.18,Equipment purchase,,2022-08-26 00:00:00,2024-01-08 00:00:00
LN0000019,CUST000103,BRN0040,EMP00020,Personal Loan,Rejected,2024-08-21,2024-09-03,,27061.51,,,,9.404,84,440.96,0,Property,,Emergency,Insufficient income,2024-08-21 00:00:00,2024-12-04 00:00:00
LN0000020,CUST001811,BRN0024,EMP00209,Auto Loan,In Arrears,2023-07-13,2023-08-04,2023-08-14,12407.09,11343.97,11331.99,3731.43,6.9336,120,131.33,10,None,42017.28,Business expansion,,2023-07-13 00:00:00,2024-09-25 00:00:00
LN0000021,CUST001085,BRN0018,EMP00395,Student Loan,Approved,2024-03-31,2024-04-26,,26508.49,26301.88,,,13.277,60,602.18,0,Guarantor,4588.38,Home purchase,,2024-03-31 00:00:00,2025-06-14 00:00:00
LN0000022,CUST005689,BRN0033,EMP00059,Home Mortgage,Closed,2018-02-28,2018-03-28,2018-04-09,68621.37,55963.11,55543.13,35982.09,21.2207,60,1520.95,0,Vehicle,1043535.13,Business expansion,,2018-02-28 00:00:00,2019-09-20 00:00:00
LN0000023,CUST000182,BRN0001,EMP00133,Line of Credit,Pending,2022-12-02,,,7940.16,,,,7.9385,84,123.51,0,Guarantor,,Emergency,,2022-12-02 00:00:00,2022-12-28 00:00:00
LN0000024,CUST000975,BRN0047,EMP00171,Personal Loan,Approved,2020-01-21,2020-02-05,,38591.27,36981.45,,,12.6374,120,544.29,0,None,8157.96,Personal use,,2020-01-21 00:00:00,2021-01-02 00:00:00
LN0000025,CUST000893,BRN0028,EMP00064,Credit Card,Pending,2019-12-06,,,59188.1,,,,19.3008,12,5463.07,0,,194898.27,Education,,2019-12-06 00:00:00,2020-01-18 00:00:00
LN0000026,CUST005010,BRN0005,EMP00284,Credit Card,Defaulted,2021-04-27,2021-05-19,2021-05-21,29455.48,23624.48,23195.06,3556.86,8.284,240,201.8,117,Property,,Equipment purchase,,2021-04-27 00:00:00,2023-03-03 00:00:00
LN0000027,CUST002432,BRN0047,EMP00061,Business Loan,Disbursed,2019-12-26,2020-01-01,2020-01-07,25480.7,22496.19,21942.02,13680.34,17.6077,12,2058.25,0,Guarantor,155923.86,Personal use,,2019-12-26 00:00:00,2021-12-24 00:00:00
LN0000028,CUST002879,BRN0010,EMP00086,Credit Card,Disbursed,2018-09-06,2018-10-02,2018-10-11,2045.0,1482.54,1446.01,943.28,7.7344,360,10.61,0,Cash Deposit,601448.43,,,2018-09-06 00:00:00,2018-10-29 00:00:00
LN0000029,CUST009820,BRN0044,EMP00251,Auto Loan,Pending,2019-10-28,,,78154.11,,,,13.8569,240,963.75,0,Guarantor,,Working capital,,2019-10-28 00:00:00,2021-01-12 00:00:00
LN0000030,CUST007053,BRN0025,EMP00235,Business Loan,Approved,2019-07-13,2019-07-22,,333871.28,332826.94,,,6.9552,24,14894.76,0,Equipment,146480.19,,,2019-07-13 00:00:00,2019-11-11 00:00:00
LN0000031,CUST007937,BRN0007,EMP00488,Auto Loan,Rejected,2023-06-18,2023-06-28,,360349.06,,,,6.3403,36,11018.16,0,Vehicle,,Home purchase,Incomplete documents,2023-06-18 00:00:00,2023-07-29 00:00:00
LN0000032,CUST007256,BRN0038,EMP00489,Personal Loan,Disbursed,2022-12-08,2022-12-22,2022-12-25,38153.12,36178.68,35271.68,7387.88,15.97,360,485.64,0,Equipment,,Home purchase,,2022-12-08 00:00:00,2024-07-22 00:00:00
LN0000033,CUST005193,BRN0048,EMP00234,Student Loan,Disbursed,2019-03-26,2019-04-16,2019-04-23,126445.23,123217.8,118003.36,22238.15,9.8861,84,2038.32,0,Cash Deposit,65118.42,Medical expenses,,2019-03-26 00:00:00,2020-10-01 00:00:00
LN0000034,CUST003107,BRN0026,EMP00254,Home Mortgage,Disbursed,2018-09-25,2018-10-24,2018-11-07,44479.03,39875.42,38191.75,26751.35,21.3541,84,918.28,0,Cash Deposit,,Debt consolidation,,2018-09-25 00:00:00,2019-10-24 00:00:00
LN0000035,CUST006842,BRN0041,EMP00008,Home Mortgage,Rejected,2018-11-25,2018-11-29,,9171.29,,,,18.8173,36,335.34,0,Cash Deposit,,Medical expenses,Low credit score,2018-11-25 00:00:00,2020-05-11 00:00:00
LN0000036,CUST008770,BRN0009,EMP00293,Student Loan,Defaulted,2018-09-10,2018-10-01,2018-10-02,10566.01,7419.61,7159.82,5537.53,8.9647,240,,316,None,17028.11,Renovation,,2018-09-10 00:00:00,2019-08-31 00:00:00
LN0000037,CUST009017,BRN0041,EMP00268,Credit Card,Disbursed,2022-05-25,2022-06-22,2022-07-03,39438.37,30207.25,29854.94,21727.29,20.7866,60,813.59,0,Property,8082.05,Vehicle purchase,,2022-05-25 00:00:00,2022-08-22 00:00:00
LN0000038,CUST002301,BRN0039,EMP00220,Personal Loan,Disbursed,2024-12-12,2024-12-28,2025-01-01,14829.54,11987.31,11632.65,10426.04,15.1131,240,158.85,0,Guarantor,,Debt consolidation,,2024-12-12 00:00:00,2026-03-18 00:00:00
LN0000039,CUST005594,BRN0047,EMP00065,Credit Card,Approved,2019-05-02,2019-05-08,,13248.64,13069.81,,,11.3367,36,429.98,0,Guarantor,,Renovation,,2019-05-02 00:00:00,2020-04-21 00:00:00
LN0000040,CUST004007,BRN0043,EMP00362,Credit Card,Rejected,2020-06-13,2020-06-30,,103918.48,,,,6.1531,36,3168.62,0,Property,,Emergency,Low credit score,2020-06-13 00:00:00,2020-08-17 00:00:00
LN0000041,CUST006424,BRN0018,EMP00040,Business Loan,Approved,2022-06-23,2022-07-08,,22580.13,21074.29,,,13.3358,240,251.96,0,Cash Deposit,,Personal use,,2022-06-23 00:00:00,2023-11-18 00:00:00
LN0000042,CUST003053,BRN0014,EMP00117,Home Mortgage,Disbursed,2018-08-20,2018-09-05,2018-09-13,6964.86,6808.52,6515.08,5248.29,12.8515,120,101.06,0,Cash Deposit,326259.33,Working capital,,2018-08-20 00:00:00,2018-08-26 00:00:00
LN0000043,CUST002252,BRN0035,EMP00111,Auto Loan,Disbursed,2024-07-29,2024-08-28,2024-09-11,10457.35,8743.92,8471.9,7329.06,20.9787,360,153.16,0,Vehicle,211556.09,Equipment purchase,,2024-07-29 00:00:00,2025-07-05 00:00:00
LN0000044,CUST002126,BRN0032,EMP00325,Line of Credit,Disbursed,2021-12-28,2022-01-05,2022-01-17,58069.89,49557.58,48024.75,13464.37,9.0587,60,1030.15,0,Guarantor,16945.9,Business expansion,,2021-12-28 00:00:00,2022-01-12 00:00:00
LN0000045,CUST008143,BRN0009,EMP00387,Business Loan,Disbursed,2021-02-11,2021-02-12,2021-02-16,29936.28,22572.72,22059.83,3696.7,5.1185,12,1933.62,0,Property,256804.99,Working capital,,2021-02-11 00:00:00,2022-11-09 00:00:00
LN0000046,CUST004081,BRN0034,EMP00267,Business Loan,Disbursed,2024-04-14,2024-05-14,2024-05-24,209080.34,174750.38,174161.38,71736.4,11.7732,120,2484.3,0,Equipment,,Medical expenses,,2024-04-14 00:00:00,2025-06-02 00:00:00
LN0000047,CUST004765,BRN0033,EMP00005,Credit Card,Disbursed,2022-03-30,2022-04-16,2022-04-28,72301.96,71611.66,71179.2,25187.65,5.4876,360,406.05,0,Property,67313.29,Personal use,,2022-03-30 00:00:00,2024-02-04 00:00:00
LN0000048,CUST002792,BRN0033,EMP00230,Business Loan,Disbursed,2023-07-07,2023-07-17,2023-07-26,18296.18,16425.3,16373.79,8201.14,6.5073,360,103.9,0,Equipment,925097.44,Medical expenses,,2023-07-07 00:00:00,2023-10-16 00:00:00
LN0000049,CUST004117,BRN0023,EMP00454,Credit Card,Closed,2021-10-29,2021-11-19,2021-12-01,70595.42,54800.42,54556.16,26221.73,14.178,120,856.74,0,Property,212120.13,Renovation,,2021-10-29 00:00:00,2023-01-01 00:00:00
LN0000050,CUST009462,BRN0029,EMP00460,Personal Loan,Approved,2021-08-07,,,11845.27,11444.9,,,4.8316,12,978.89,0,Cash Deposit,53933.58,Business expansion,,2021-08-07 00:00:00,2021-08-21 00:00:00
LN0000051,CUST007407,BRN0047,EMP00370,Personal Loan,Disbursed,2018-03-08,2018-03-19,2018-03-28,36078.62,28482.84,27076.41,14205.89,12.3273,60,638.31,0,Vehicle,,Personal use,,2018-03-08 00:00:00,2019-08-09 00:00:00
LN0000052,CUST004723,BRN0044,EMP00462,Line of Credit,Rejected,2020-07-13,2020-07-17,,27934.93,,,,23.6462,84,683.08,0,None,73018.85,Education,High DTI,2020-07-13 00:00:00,2021-08-13 00:00:00
LN0000053,CUST002174,BRN0023,EMP00160,Business Loan,Disbursed,2018-01-28,2018-02-13,2018-02-20,77926.65,62622.99,60610.36,2979.9,4.8129,240,406.84,0,Property,128303.44,Investment,,2018-01-28 00:00:00,2019-03-27 00:00:00
LN0000054,CUST002868,BRN0045,EMP00342,Business Loan,Disbursed,2018-09-24,2018-10-09,2018-10-10,10283.72,7488.32,7403.98,3279.23,10.4944,24,347.26,0,,314718.35,Medical expenses,,2018-09-24 00:00:00,2020-08-12 00:00:00
LN0000055,CUST001670,BRN0028,EMP00360,Line of Credit,Closed,2022-12-24,2022-12-25,2022-12-30,18148.88,13990.51,13460.25,7559.25,8.112,60,284.43,0,None,93515.74,Vehicle purchase,,2022-12-24 00:00:00,2024-09-04 00:00:00
LN0000056,CUST007991,BRN0018,EMP00307,Credit Card,Disbursed,2018-03-15,2018-04-07,2018-04-21,3760.89,3052.12,2947.32,2223.22,23.7571,360,,0,Guarantor,67564.05,Medical expenses,,2018-03-15 00:00:00,2019-09-05 00:00:00
LN0000057,CUST009502,BRN0011,EMP00157,Home Mortgage,Rejected,2021-01-16,2021-01-25,,12736.43,,,,5.6999,24,562.77,0,Vehicle,53521.77,Renovation,,2021-01-16 00:00:00,2022-05-12 00:00:00
LN0000058,CUST008012,BRN0005,EMP00075,Credit Card,Rejected,2024-03-11,2024-04-10,,5674.97,,,,10.5675,60,122.17,0,Vehicle,33749.31,Renovation,,2024-03-11 00:00:00,2024-08-06 00:00:00
LN0000059,CUST000410,BRN0019,EMP00202,Credit Card,Rejected,2018-08-31,2018-09-18,,35927.48,,,,11.7098,12,3187.24,0,Cash Deposit,,,Low credit score,2018-08-31 00:00:00,2020-02-26 00:00:00
LN0000060,CUST001059,BRN0040,EMP00099,Student Loan,Closed,2020-04-11,2020-04-22,2020-04-27,32850.13,29232.11,27803.91,9915.15,23.7967,48,949.74,0,None,18264.49,Investment,,2020-04-11 00:00:00,2021-11-18 00:00:00
LN0000061,CUST007268,BRN0038,EMP00184,Line of Credit,Approved,2019-04-14,2019-05-07,,28435.99,26177.13,,,19.0992,180,442.42,0,Property,,Personal use,,2019-04-14 00:00:00,2020-02-12 00:00:00
LN0000062,CUST002886,BRN0017,EMP00057,Home Mortgage,Disbursed,2018-10-03,2018-10-31,2018-11-08,57444.41,46798.52,44462.09,12398.23,23.4428,60,1331.21,0,None,,Working capital,,2018-10-03 00:00:00,2020-06-30 00:00:00
LN0000063,CUST005869,BRN0001,EMP00459,Personal Loan,Disbursed,2023-12-22,2024-01-16,2024-01-18,38094.05,30604.53,29635.92,3275.95,21.4357,60,835.47,0,Property,33546.38,,,2023-12-22 00:00:00,2024-09-26 00:00:00
LN0000064,CUST004039,BRN0016,EMP00421,Credit Card,Approved,2018-12-01,2018-12-31,,2254.23,2023.28,,,19.5744,360,33.1,0,Cash Deposit,8587.73,Working capital,,2018-12-01 00:00:00,2019-12-12 00:00:00
LN0000065,CUST007150,BRN0041,EMP00102,Student Loan,Pending,2024-03-04,,,13420.28,,,,17.9889,24,669.92,0,Guarantor,,Personal use,,2024-03-04 00:00:00,2024-06-11 00:00:00
LN0000066,CUST008708,BRN0008,EMP00172,Home Mortgage,Disbursed,2018-02-08,2018-02-23,2018-03-01,3636.08,3228.13,3221.04,462.85,9.6228,48,,0,Cash Deposit,27418.21,,,2018-02-08 00:00:00,2019-10-01 00:00:00
LN0000067,CUST008816,BRN0004,EMP00348,Student Loan,In Arrears,2019-08-15,2019-09-08,2019-09-19,55465.53,39365.47,39221.79,26155.49,6.5931,84,586.33,32,Guarantor,84905.98,Education,,2019-08-15 00:00:00,2020-03-09 00:00:00
LN0000068,CUST008519,BRN0029,EMP00030,Personal Loan,Rejected,2020-04-22,2020-05-18,,142799.92,,,,6.9673,24,6391.4,0,Equipment,,Education,Low credit score,2020-04-22 00:00:00,2020-12-29 00:00:00
